nombre,codigo,precio,precioMayoreo,marca,descripcion,categoria,stockCantidad,stockMinimo,ubicacion
Licuadora,PRD1000,40.84,34.71,SoundMax,Licuadora de alta calidad marca SoundMax,Electrodomésticos de cocina pequeños,45,14,SUCURSAL SUR
Tostadora,PRD1001,94.62,80.43,CoolControl,Tostadora de alta calidad marca CoolControl,Electrodomésticos de cocina pequeños,44,15,BODEGA PRINCIPAL
Cafetera,PRD1002,34.39,29.23,ElectroHome,Cafetera de alta calidad marca ElectroHome,Electrodomésticos de cocina pequeños,42,5,BODEGA PRINCIPAL
Horno Eléctrico,PRD1003,91.57,77.83,SoundMax,Horno Eléctrico de alta calidad marca SoundMax,Electrodomésticos de cocina pequeños,41,11,SUCURSAL NORTE
Freidora de Aire,PRD1004,32.15,27.33,ElectroHome,Freidora de Aire de alta calidad marca ElectroHome,Electrodomésticos de cocina pequeños,28,6,SUCURSAL NORTE
Batidora,PRD1005,23.7,20.14,BeautyPro,Batidora de alta calidad marca BeautyPro,Electrodomésticos de cocina pequeños,42,11,ALMACÉN CENTRAL
Sanduchera,PRD1006,28.4,24.14,TechGear,Sanduchera de alta calidad marca TechGear,Electrodomésticos de cocina pequeños,25,8,ALMACÉN CENTRAL
Olla Arrocera,PRD1007,88.44,75.17,SmartLife,Olla Arrocera de alta calidad marca SmartLife,Electrodomésticos de cocina pequeños,19,5,SUCURSAL SUR
Microondas,PRD1008,41.07,34.91,SoundMax,Microondas de alta calidad marca SoundMax,Electrodomésticos de cocina pequeños,22,8,SUCURSAL SUR
Exprimidor,PRD1009,75.69,64.34,SoundMax,Exprimidor de alta calidad marca SoundMax,Electrodomésticos de cocina pequeños,10,5,ALMACÉN CENTRAL
Waflera,PRD1010,68.82,58.5,ElectroHome,Waflera de alta calidad marca ElectroHome,Electrodomésticos de cocina pequeños,26,15,ALMACÉN CENTRAL
Procesador de Alimentos,PRD1011,35.37,30.06,ElectroHome,Procesador de Alimentos de alta calidad marca ElectroHome,Electrodomésticos de cocina pequeños,41,6,ALMACÉN CENTRAL
Secadora de Cabello,PRD1012,55.55,47.22,SoundMax,Secadora de Cabello de alta calidad marca SoundMax,Artículos de belleza electrónicos,23,6,ALMACÉN CENTRAL
Plancha de Cabello,PRD1013,81.36,69.16,SoundMax,Plancha de Cabello de alta calidad marca SoundMax,Artículos de belleza electrónicos,14,10,BODEGA PRINCIPAL
Rizador,PRD1014,68.37,58.11,SoundMax,Rizador de alta calidad marca SoundMax,Artículos de belleza electrónicos,44,15,ALMACÉN CENTRAL
Cepillo Alisador,PRD1015,59.15,50.28,SoundMax,Cepillo Alisador de alta calidad marca SoundMax,Artículos de belleza electrónicos,42,10,ALMACÉN CENTRAL
Depiladora,PRD1016,17.77,15.1,ElectroHome,Depiladora de alta calidad marca ElectroHome,Artículos de belleza electrónicos,10,13,SUCURSAL SUR
Maquinilla de Afeitar,PRD1017,79.05,67.19,SmartLife,Maquinilla de Afeitar de alta calidad marca SmartLife,Artículos de belleza electrónicos,46,9,SUCURSAL SUR
Lima Eléctrica,PRD1018,49.64,42.19,BeautyPro,Lima Eléctrica de alta calidad marca BeautyPro,Artículos de belleza electrónicos,10,8,ALMACÉN CENTRAL
Cepillo Facial,PRD1019,82.51,70.13,TechGear,Cepillo Facial de alta calidad marca TechGear,Artículos de belleza electrónicos,31,6,SUCURSAL SUR
Removedor de Puntos Negros,PRD1020,79.8,67.83,CoolControl,Removedor de Puntos Negros de alta calidad marca CoolControl,Artículos de belleza electrónicos,37,15,SUCURSAL SUR
